year;month;day;Rm_minus_Rf;SMB;HML;IML;WML;Risk_free
2017;5;9;0.010022469;-0.001744039;0.005550491;-0.000821063;0.009241072;0.000409919
2017;5;10;0.015209607;-0.007608695;-0.009887928;-0.006962391;-0.008972219;0.000408128
2017;5;11;0.00499439;-0.000582246;-0.001661852;0.008836635;0.016831826;0.000406337
2017;5;12;0.009556895;0.002747708;-0.002482678;0.000869323;-1.20001E-06;0.000405262
2017;5;15;0.001904926;0.001854165;0.006906125;0.001569517;8.64384E-05;0.000401675
2017;5;16;0.004003051;0.006754519;0.00239864;0.004972205;0.006699417;0.000399522
2017;5;17;-0.016628236;0.003210817;0.002276186;0.003877868;0.007215192;0.000398804
2017;5;18;-0.088486709;-0.039853044;-0.05547715;-0.030942939;-0.058127917;0.000408486
2017;5;19;0.01690875;0.013905179;0.01804623;0.017382065;0.018571949;0.000402393
2017;5;22;-0.01647108;-0.02688155;-0.014537854;-0.023187809;-0.025583506;0.000402393
